Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
ORG,ORIGIN ENERGY LTD,Utilities,Equity,28616716.91,0.02067,28616716.91,3220710,8.89,Australia,Asx - All Markets,AUD
EQT,EQT,Financials,Equity,28544830.27,0.02062,28544830.27,812525,35.13,Sweden,Nasdaq Omx Nordic,SEK
BAER,JULIUS BAER GRUPPE AG,Financials,Equity,28546914.49,0.02062,28546914.49,350124,81.53,Switzerland,SIX Swiss Exchange,CHF
INF,INFORMA PLC,Communication,Equity,28494828,0.02058,28494828,2574951,11.07,United Kingdom,London Stock Exchange,GBP
LVS,LAS VEGAS SANDS CORP,Consumer Discretionary,Equity,28402146.78,0.02052,28402146.78,493607,57.54,United States,New York Stock Exchange Inc.,USD
EVRG,EVERGY INC,Utilities,Equity,28391592.15,0.02051,28391592.15,353349,80.35,United States,NASDAQ,USD
PTC,PTC INC,Information Technology,Equity,28103837.81,0.0203,28103837.81,199417,140.93,United States,NASDAQ,USD
WY,WEYERHAEUSER REIT,Real Estate,Equity,28095010.63,0.02029,28095010.63,1128767,24.89,United States,New York Stock Exchange Inc.,USD
CLNX,CELLNEX TELECOM,Communication,Equity,28038878.21,0.02025,28038878.21,847560,33.08,Spain,Bolsa De Madrid,EUR
IP,INTERNATIONAL PAPER,Materials,Equity,27967405.12,0.0202,27967405.12,789148,35.44,United States,New York Stock Exchange Inc.,USD
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials,Equity,27917233.29,0.02017,27917233.29,172467,161.87,United States,New York Stock Exchange Inc.,USD
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials,Equity,27911793.04,0.02016,27911793.04,390812,71.42,United States,New York Stock Exchange Inc.,USD
SATS,ECHOSTAR CORP CLASS A,Communication,Equity,27860325.24,0.02013,27860325.24,224934,123.86,United States,NASDAQ,USD
UPM,UPM-KYMMENE,Materials,Equity,27833629.7,0.02011,27833629.7,899171,30.95,Finland,Nasdaq Omx Helsinki Ltd.,EUR
CSL,CARLISLE COMPANIES INC,Industrials,Equity,27817936.1,0.02009,27817936.1,77795,357.58,United States,New York Stock Exchange Inc.,USD
4543,TERUMO CORP,Health Care,Equity,27719665.59,0.02002,27719665.59,2060200,13.45,Japan,Tokyo Stock Exchange,JPY
AFRM,AFFIRM HOLDINGS INC CLASS A,Financials,Equity,27638076.4,0.01996,27638076.4,427834,64.6,United States,NASDAQ,USD
ROL,ROLLINS INC,Industrials,Equity,27617279.74,0.01995,27617279.74,504794,54.71,United States,New York Stock Exchange Inc.,USD
FWONK,LIBERTY MEDIA FORMULA ONE SERIES C,Communication,Equity,27509900.25,0.01987,27509900.25,313075,87.87,United States,NASDAQ,USD
GIB.A,CGI INC CLASS A,Information Technology,Equity,27445110.81,0.01983,27445110.81,356400,77.01,Canada,Toronto Stock Exchange,CAD
BAMI,BANCO BPM,Financials,Equity,27431719.72,0.01982,27431719.72,1865881,14.7,Italy,Borsa Italiana,EUR
